engine,entry_time,exit_time,ret_pct,reason,eq_before,eq_after,dd_after
CRASH,2022-11-08T18:15:00+00:00,2022-11-08T19:15:00+00:00,0.13213779183400942,3,132917124.93652979,150480500.32256797,0.0
CRASH,2022-11-09T10:15:00+00:00,2022-11-09T21:15:00+00:00,0.30074698778380937,3,150480500.32256797,195737057.51478085,0.0
CRASH,2022-11-14T20:15:00+00:00,2022-11-15T07:15:00+00:00,-0.14963333955335745,1,195737057.51478085,166448267.9244966,-0.14963333955335745
LITE,2022-11-28T01:45:00+00:00,2022-11-28T02:15:00+00:00,0.007156179631403026,2,166448267.9244966,167639401.62910017,-0.14354796297864503
LITE,2022-12-16T09:15:00+00:00,2022-12-16T14:15:00+00:00,0.02781453974293302,2,167639401.62910017,172302214.42819428,-0.11972614375699864
LITE,2023-02-09T20:15:00+00:00,2023-02-09T22:15:00+00:00,0.009564512777465728,2,172302214.42819428,173950201.1596784,-0.11130675321129335
LITE,2023-03-09T19:15:00+00:00,2023-03-09T20:45:00+00:00,0.09304465800063721,3,173950201.1596784,190135338.13572273,-0.02861859399636224
LITE,2023-04-19T09:15:00+00:00,2023-04-21T17:15:00+00:00,0.0934740530465068,3,190135338.13572273,207908058.81863678,0.0
LITE,2023-07-14T18:15:00+00:00,2023-07-17T18:15:00+00:00,0.08319450145703433,4,207908058.81863678,225204866.12095302,0.0
LITE,2023-08-31T16:45:00+00:00,2023-09-01T14:45:00+00:00,0.3570431557116551,3,225204866.12095302,305612722.2023989,0.0
LITE,2023-09-01T18:15:00+00:00,2023-09-01T18:45:00+00:00,-0.1474342454688301,2,305612722.2023989,260554941.09881303,-0.1474342454688301
LITE,2023-10-06T13:15:00+00:00,2023-10-06T13:15:00+00:00,-0.025357913830914347,2,260554941.09881303,253947811.35421038,-0.16905353440742
LITE,2024-06-24T10:15:00+00:00,2024-06-24T13:45:00+00:00,0.005723679589278774,2,253947811.35421038,255401327.25880048,-0.16429746308252435
LITE,2024-06-24T20:15:00+00:00,2024-06-24T20:45:00+00:00,0.020992143653673523,2,255401327.25880048,260762748.6099561,-0.14675427537581343
LITE,2024-07-02T14:15:00+00:00,2024-07-03T03:15:00+00:00,0.1647891070009655,3,260762748.6099561,303733609.092508,-0.006148674362601914
LITE,2024-07-04T01:45:00+00:00,2024-07-04T13:15:00+00:00,0.3107661745958541,3,303733609.092508,398123740.88637924,0.0
CRASH,2024-07-05T03:15:00+00:00,2024-07-05T11:45:00+00:00,0.004955416504982324,2,398123740.88637924,400096609.8429929,0.0
CRASH,2024-08-05T01:15:00+00:00,2024-08-05T06:15:00+00:00,0.25282506707716634,3,400096609.8429929,501251062.06389445,0.0
CRASH,2024-08-05T11:45:00+00:00,2024-08-05T13:45:00+00:00,-0.09131556191962442,1,501251062.06389445,455479039.6687214,-0.09131556191962442
CRASH,2024-08-14T14:15:00+00:00,2024-08-15T12:15:00+00:00,0.00495327833714132,2,455479039.6687214,457735154.1289344,-0.08681459497718347
LITE,2024-11-01T16:15:00+00:00,2024-11-04T16:15:00+00:00,0.04194980260111647,4,457735154.1289344,476937053.4882348,-0.04850664749825573
LITE,2025-01-07T16:15:00+00:00,2025-01-08T16:45:00+00:00,0.09230530294918404,3,476937053.4882348,520960872.69815755,0.0
CRASH,2025-02-28T02:45:00+00:00,2025-02-28T09:15:00+00:00,0.023899441004095134,2,520960872.69815755,533411546.34064907,0.0
CRASH,2025-03-03T15:15:00+00:00,2025-03-04T01:15:00+00:00,0.29708539669791056,3,533411546.34064907,691880327.1885067,0.0
CRASH,2025-03-07T16:45:00+00:00,2025-03-09T21:45:00+00:00,0.2968550343580638,3,691880327.1885067,897268485.4877193,0.0
CRASH,2025-03-10T14:15:00+00:00,2025-03-11T07:15:00+00:00,0.00227941700363532,2,897268485.4877193,899313734.5303661,0.0
LITE,2025-07-15T15:15:00+00:00,2025-07-15T22:45:00+00:00,-0.045980122262117895,2,899313734.5303661,857963179.064658,-0.045980122262117784
LITE,2025-08-14T13:15:00+00:00,2025-08-17T13:15:00+00:00,0.035912855172070435,4,857963179.064658,888775086.4573762,-0.011718544561640898
LITE,2025-09-25T18:15:00+00:00,2025-09-28T18:15:00+00:00,-0.04993137471962228,4,888775086.4573762,844397324.5740083,-0.06106479624158723
LITE,2025-10-10T21:15:00+00:00,2025-10-10T21:15:00+00:00,0.09432532365712754,3,844397324.5740083,924045375.5096643,0.0
LITE,2025-10-30T05:15:00+00:00,2025-10-30T06:45:00+00:00,-0.05001448531177566,2,924045375.5096643,877829721.648822,-0.05001448531177566
CRASH,2025-11-20T17:15:00+00:00,2025-11-21T07:15:00+00:00,0.21682753165974966,3,877829721.648822,1068167373.4115012,0.0
